"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1450","5 leksione mbi psikoanalizen","Frojdi","","Dollapi 11",""
"1451","Junaji","Alber Kamy","","Dollapi 11",""
"1452","Vepra letrare","Pashko Vasa","","Dollapi 11","Vepra letrare"
"1453","Mitologjite","Roland Barthes","","Dollapi 11",""
"1454","Tespinet prej fosfori","Jovan Nikolaidis","","Dollapi 11",""
"1455","Hapa ne rrug te reja","Agim Polorina","2","Dollapi 11",""
"1456","The heritag","Univ.Nderkombetar I Struges","","Dollapi 11",""
"1457","Fjalori I personazheve kodare","Tefik Kaushi","4","Dollapi 11",""
"1458","Bijt e shpates Shqiptare","Mexhit Kokalari","","Dollapi 11",""
"1459","Hija e atit tjetrit","Sulejman Kaba","","Dollapi 11",""
"1460","Shikime nga skena","Naxhi Ndoci","","Dollapi 11",""
"1461","Vende te largeta Blindare I katert","Arkadij Gajdar","","Dollapi 11",""
"1462","Prometeus Mberthyes","Eskili","1","Dollapi 11",""
"1463","Roman","Fatmir Gjjata","9","Dollapi 11",""
"1464","Romane","Ali Abdihoxha","50","Dollapi 11",""
"1465","Duarshtrrengime","Petro Lekeri","1","Dollapi 11",""
"1466","Bilbilat e vendit tim","Lefter Cipa","1","Dollapi 11",""
"1467","Rajoni Malor Shteteror","Agjma Qendrore e vlersimeve te arritjeve te nxeseve","1","Dollapi 11",""
"1468","Programe kendore shkolla 9 vjecare","Shkrimi I kurrikulave dhe standarteve","1","Dollapi 11",""
"1469","Vepra letrare 1","Spiro Comora","1","Dollapi 11","Vepra letrare"
"1470","-//- 2","-//-","1","Dollapi 11",""
"1471","-//- 3","-//-","","Dollapi 11",""
"1472","-//- 4","-//-","1","Dollapi 11",""
"1473","Emblema Elbasan","Thomas Meksi","1","Dollapi 11",""
"1474","Univers I vlerave te mungura","Tomor Plangarica","4","Dollapi 11",""
"1475","Mali","Paplina Dedja","1","Dollapi 11",""
"1476","Me vjen keq per Jagon","Fatos Arapi","10","Dollapi 11",""
"1477","Vershimet e Ujvarave","Eoi Dashi","1","Dollapi 11",""
"1478","Udha e Pelumbit","","2","Dollapi 11",""
"1479","5 leksione mbi psikoanalizen","Frojdi","1","Dollapi 11",""
"1480","Harresa e emrave","Frojdi","1","Dollapi 11",""
"1481","Veptimet e gabuara","Frojdi","1","Dollapi 11",""
"1482","Qetesi ne shtrrengat","Shpresa Kamami","5","Dollapi 11",""
"1483","Autoautike","Gazmend Kongoli","9","Dollapi 11",""
"1484","Zhyl Vern ne Katror","Niko Nikolla","2","Dollapi 11",""
"1485","Tangerlleqet madheshtore te Efez Bretkoses","Astrit Karadaku","1","Dollapi 11",""
"1486","Dallada e yjeve te ndezura","Perikli Jorgani","1","Dollapi 11",""
"1487","Frika","Frojdi","1","Dollapi 11",""
"1488","Agresioni idologjik dhe lufta kunder tij","Sevo Tarifa","1","Dollapi 11",""
"1489","Egjerushi","Cezar Petresku","1","Dollapi 11",""
"1490","Besa e Madhe","Mirosh Macaj","1","Dollapi 11",""
"1491","Shoqeria Dallandyshe","Lejde Shocu","1","Dollapi 11",""
"1492","Shoku pylli,buci","Atile Jozef","1","Dollapi 11",""
"1493","Trima e te vendosur","Konstandin Leli","1","Dollapi 11",""
"1494","Akademia e larget","Shefki Karadaku","1","Dollapi 11",""
"1495","Keng per detin","Atonza Kosin","1","Dollapi 11",""
"1496","Lirika e Majit","Koci Petriti","1","Dollapi 11",""
"1497","Soditja","Nonda Bulku","1","Dollapi 11",""
"1498","Mergata e qyqeve","Nasho Jorgaqi","1","Dollapi 11",""
"1499","Frojdi","Stefan Cvojg","1","Dollapi 11",""
"1500","Endrrat","Frojdi","2","Dollapi 11",""
"1501","Pse","Sterjo Spusse","1","Dollapi 11",""
"1502","Atletika","Dhimiter Dardhi","1","Dollapi 11",""
"1503","Te mesuarit me objektiva","Dr.Petrit Muka","1","Dollapi 11",""
"1504","Ekonomia e Shqipris ne vitet e para te nderimit socialist","Iljaz Frishta-Veriom Toci","1","Dollapi 11",""
"1505","Lufta e Vlores","R.Ceqiraj","1","Dollapi 11",""
"1506","Udha e pellumbit","Egnatia","4","Dollapi 11",""
"1507","Universi I lirave te munguara","Jornor Plangarura","4","Dollapi 11",""
"1508","Me vjen keq per Jagon","Fatos Arapi","12","Dollapi 11",""
"1509","Friedrich Nietzsche","Kush foli Zarathustra","1","Dollapi 11",""
"1510","Ndjenja qe rrit brezat","Tonin Shtfjeni","2","Dollapi 11",""
"1511","Zhyl Verni Laruar","Niko Nikolla","1","Dollapi 11",""
"1512","Autokritik","Gazmend Kongali","13","Dollapi 11",""
"1513","Grabitsit shumekembesh","Dervish Dumi-Napoleon Roshi","2","Dollapi 11",""
"1514","Vikinget","Lef Mazi","4","Dollapi 11",""
"1515","Fjalori I termave te ekonomis politike","Akademia e Shkencave","1","Dollapi 11",""
"1516","Etnografia Shqiptare 16","","1","Dollapi 11",""
"1517"," Etnografia Shqiptare 11","","","Dollapi 11",""
"1518","Etnografia Shqiptare 13","","1","Dollapi 11",""
"1519","Etnografia Shqiptare 15","","1","Dollapi 11",""
"1520","Keng popullore historike","Univ.Shteteror I Tiranes","2","Dollapi 11",""
"1521","Te njohim veshjet tona popullore","","1","Dollapi 11",""
"1522","Muzike popullore instrumentale","Pirro Misko","1","Dollapi 11",""
"1523","Proza Popullore","Jorgo Panajoti","1","Dollapi 11",""
"1524","Perralla shqiptare","Doria Omari","2","Dollapi 11",""
"1525","Epika Legjendare 6","Folklor shqiptar","2","Dollapi 11",""
"1526","Politika dhe Demokracia","Kval-Mellbye-Tranoy","16","Dollapi 11",""
"1527","Spechi-Migjeni","Leiv Mjeldheim-Solvi Lillejord-E.de Solveberg","17","Dollapi 11",""
"1528","Iliret","Rinush Idrizi","6","Dollapi 11",""
"1529","Tregimet e Peterburgut","Nikollai Gogol","2","Dollapi 11",""
"1530","Gezuar shok","Nikollai Gogol-Feut U.Hallini","9","Dollapi 11",""
"1531","Udhet hedhin valle","Shefqet Peci","2","Dollapi 11",""
"1532","Burrat e Liris","Thonas Dina","1","Dollapi 11",""
"1533","Kur therret nena e madhe","Akademia e Shkencave","1","Dollapi 11",""
"1534","Poezia neper kohe","Dalip Sharma","3","Dollapi 11",""
"1535","Individualiteti dhe vepra letrare","Ishno Thoma","2","Dollapi 11",""
"1536","Studime per letersin e realiste","Nexhep Gami","4","Dollapi 11",""
"1537","Risi te letersis","Jakup Mato","1","Dollapi 11",""
"1538","Shqipria ne socializim socialis","Razi Ibrahimi","1","Dollapi 11",""
"1539","Vepra dhe profile hyrse krijuese","Adriatik Kaluli","2","Dollapi 11",""
"1540","Nga realiteti ke krijimtaria","Enver Muhameti","2","Dollapi 11",""
"1541","Fjalor Pamor Trigjuhesh","Jean Claude Corteie","","Dollapi 11",""
"1542","Dichonnaire du Francais Prinardiel","Micro Robert","","Dollapi 11",""
"1543","Nga shkoi me kuror te drapi me cekan","Beqir Ajazi","","Dollapi 11",""
"1544","Dizionoria competto della lingua Italiane","Anna Cattana-Maria Teresa Nesci","","Dollapi 11",""
"1545","Brenga e ballkanit dhe vepra te tjera per shqiprin dhe shqiptaret","Edith Durhan","","Dollapi 11",""
"1546","Shqiptaret(Nje histori moderne)","Miranda Vickers","","Dollapi 11",""
"1547","Dashuria per jeten","Erich Fromm","","Dollapi 11","Psikologji"
"1548","Korografia 4","","","Dollapi 11",""
"1549","Korografia 1","","","Dollapi 11",""
"1550","Maja e Celur","Gjergj Zheji","","Dollapi 11","Poezi"
"1551","Maja e Celur","Natasha Xhafa","","Dollapi 11","Proz"
"1552","Kenga e Melodis","Festivali Folkorik","","Dollapi 11",""
"1553","Vepra letrare 2","Lame Kodra","7","Dollapi 11","Vepra letrare"
"1554","Vepra letrare 3","Lame Kodra","10","Dollapi 11","Vepra letrare"
"1555","Donkishoti Nances","M.De Servautes","","Dollapi 11",""
"1556","Tangerlleqet madheshtore te Efez Bretkosa","Astrit Karadaku","9","Dollapi 11",""
"1557","Parajsa","Daut Aligeri","","Dollapi 11",""
"1558","Purgator","Daut Aligeri","","Dollapi 11",""
"1559","Bolero ne vilen e pleqeve","Fatos Kongoli","","Dollapi 11",""
"1560","Vepra letrare 1","Mitrush Kuteli","","Dollapi 11","Vepra letrare"
"1561","Maim Frasuer","Dhimiter S.Shuteriqi","","Dollapi 11",""
"1562","Lekura qenit","Fatos Kongoli","","Dollapi 11",""
"1563","Eugjen Onjegini","A.S Pushkini","","Dollapi 11",""
"1564","Poezi shqip","J.De Rada","","Dollapi 11",""
"1565","Tregime te Zgjedhura","Mitrush Kuteli","","Dollapi 11",""
"1566","Ikja e Shtegut","Ismail Kadare","","Dollapi 11",""
"1567","Jerina Regina De Fiore","At Gjergj Fishta","","Dollapi 11",""
"1568","Universi letrar I Kadares","Tefik Caushi","2","Dollapi 11",""
"1569","Vepra letrare 2","Cajupi","2","Dollapi 11","Vepra letrare"
"1570","Vepra letrare 7","Dritor Agolli","","Dollapi 11","Vepra letrare"
"1571","Antologjia e poezis","Clirim Gega","","Dollapi 11",""
"1572","Medea","Europidi","5","Dollapi 11",""
"1573","Revolucioni Demokrat Borgjes 1924","Selim Shpura","2","Dollapi 11",""
"1574","Revolucioni Francez mendimtar shqiptar","Akademia e shkencave","3","Dollapi 11",""
"1575","Revolucioni I Qershorit","Fan Noli","2","Dollapi 11",""
"1576","Historia e Luftes Antifashiste Nacionaleclitimtare(1939-1944)","Akademia e Shkencave","2","Dollapi 11",""
"1577","Fraza politike te filozofis hellg","","1","Dollapi 11",""
"1578","Historia e Shqipris","Akademia e Shkencave","1","Dollapi 11",""
"1579","Princi","Nicholo Machiavelli","4","Dollapi 11","Histori"
"1580","Mehmet Pushtuesi","Franc Babinger","16","Dollapi 11",""
"1581","Vepra letrare 2","Naim Frasheri","30","Dollapi 9",""
"1702","Dhe nata u nda ne mes","Diana Culi","6","Rafte","Roman"
"1703","Diaktologjia shqiptare","Akademia e shkencave","2","Rafte",""
"1704","Mbledhes te folklorit","Nga kenga e popullit","4","Rafte","Vargje"
"1705","Mbi njeriun","Thoma D'Akuini","7","Rafte","Filozofi"
"1706","Qyteti","Max Weber","5","Rafte","Shkenca sociale"
"1707","Arsimi i gjenerates tjeter","Pellumb Karameta","5","Rafte",""
"1708","Histori e shkurter e Amerikes","Vjollca shtylla","3","Rafte",""
"1709","Politika, shkenca si profesion.Tre tipat e pastër të sundimit legjitim","Max Weber","5","Rafte",""
"1710","Leter per Tolerimin","John Locke","10","Rafte",""
"1711","Konceptimi i ankthit","Soren Kierkegaard","8","Rafte",""
"1712","Berisha përmes kasandrave","Fahri Balliu","8","Rafte",""
"1713","Mendimet","Blez Poskal","5","Rafte","Roman"
"1714","Misioni amerikan ne Shqiperi","Peter Ducas","8","Rafte",""
"1715","..popullor nga rrethi i vlores","Mbledhes te folklorit","1","Rafte",""
"1716","Folklor nga Devoll i sotem","Mbledhes te folklorit","1","Rafte",""
"1717","Akademia","Epoka historike","3","Rafte",""
"1718","Pirro Taki","Luigj Gurakuqi","1","Rafte",""
"1719","Mërgata e Qyqeve","Nasho Jorgaqi","2","Rafte","Roman"
"1720","Mic Sokoli","Sulejman Krasniqi","1","Rafte","Roman"
"1721","Shpirti i popullit ne valle","Ramazan Bogdani","1","Rafte",""
"1722","Kur dëgjojmë operën","Shaban Vani","4","Rafte",""
"1723","Lojëra popullore","Enver Bushati","3","Rafte",""
"1724","Mbledhes te hershem te folklorit shqiptar","Instituti i folklorit","2","Rafte",""
"1725","The Hardy Boys","Franklin Dixon","1","Rafte","Novele"
"1726"," Wild Wales","George Borrow","1","Rafte",""
"1727","one","","1","Rafte",""
"1728","Russia under the wild czars","Henry Moscow","1","Rafte",""
"1729","BBC Series","Starasky Hereh","1","Rafte",""
"1730","Ne gjurmet e nje perralle","Joun Phililip Sendez","1","Rafte",""
"1731","Sikur te me takoje tani"," Cecilia Ahern","1","Rafte","Roman"
"1732","Dje,sot,neser"," Sophia Loren","1","Rafte","Biografi"
"1733","Nje fjale e jotja","Elvira Lindo","1","Rafte",""
"1734","Dimri i njerezve"," Lionel Duroy","10","Rafte",""
"1735","Saga e Forsajtëve","John Galsworthy","1","Rafte",""
"1736","Mendimtaret per edukim","","8","Rafte",""
"1737","Historia e Ballkanit","Georges Castellan","4","Rafte","Histori"
"1738","Kerkime per shqipetaret per gjuhen shqipe","william Marturi","4","Rafte",""
"1739","Valixhja diplomatike","Pietro Kuaroni","9","Rafte","Histori"
"1740","Medea","Euripidi","5","Rafte","Tragjedi"
"1741","Miti i ballkanit te Kadareja","Ali Aliu","4","Rafte",""
"1742","Historia e luftes Antifashiste Nacionaliste te popullit shqiptar","","1","Rafte","Histori"
"1743","Kujtimet e jetes sime nga shqiperia","Maksimiliani i Parë","4","Rafte","Autobiografi"
"1744","Fjalori Anglisht-Shqip","Shpetim Cueka","1","Rafte","Fjalor"
"1745","Fjalor i mitologjise","Todri Dhoma","2","Rafte","Fjalor"
"1746","Morfologji e eptanit te gjuhes se sotme","Rahni Memushaj","1","Rafte","Morfologji"
"1747","Formimi i mitologjise se gjuhes shqipe","J. Thomaj","1","Rafte","Morfologji"
"1748","Frazeologjisma te gjuhes shqipe","Mehmet Gjevori","1","Rafte",""
"1749","Fjalori i gjuhes shqipe","Pauli qesku","1","Rafte","Fjalor"
"1750","Fjalori i shqipes se sotme","Akademia e shkencave","1","Rafte","Fjalor"
"1751","Kongresi i manastirit","","1","Rafte",""
"1752","Fjalor i sinonimit te gjuhes shqipe","Akademia e shkencave","1","Rafte","Fjalor"
"1753","Fjalori paratermit frengj-shqip","Dhimiter Olldasi","2","Rafte","Fjalor"
"1754","Fjalori  frengj-shqip","Vedat Kokora","1","Rafte","Fjalor"
"1755","Fjalor fren- shqip","Ramazan Hysa","3","Rafte","Fjalor"
"1756","Fjalor frengjisht- shqip","Vedat Kokona","2","Rafte","Fjalor"
"1757","Manuel del grammere Francese","Zoi Topi-Meholi Agolliu","1","Rafte","Modul"
"1758","Fjalor ang-shqip i radioelektronikes","Arif Tomcini","1","Rafte","Fjalor"
"1759","Gjuhe angleze per te zgjidhura","David Hicka","1","Rafte",""
"1760","Fjalor ang. Shqip","Ifo Stefanllari","1","Rafte","Fjalor"
"1761","Dora tjeter","Chris Cleave","1","Rafte","Roman"
"1762","Deti i paane i Saga","Jean Enys","1","Rafte",""
"1763","Fluturaku i kohes","Stefano Beeni","1","Rafte",""
"1764","Arti per t'u bere i paharrueshem","Dale Crarnegie","1","Rafte",""
"1765","Tirana qyteti i munguar","Sortir Dhoma","1","Rafte",""
"1766","Ku je?","Flutura Acka","1","Rafte",""
"1767","Vetmi gruaje","Flutura Acka","1","Rafte",""
"1768","Balero ne vitin e pleqve","Fatos Kongoli","1","Rafte",""
"1769","Te shkruajme ese","Bardhyl Hysai","3","Rafte",""
"1770","Ne te tre","Fatos Kongoli","2","Rafte",""
"1771","Afaresti","Honore de Balzak","5","Rafte",""
"1772","Psikologjia e rinise shkollore","","1","Rafte",""
