"ID","Titulli i librit","Autori","Sasia","Vendndodhja","Lloji"
"1284","Patroni i zi","Fahri Balliu","8","Dollapi 7",""
"1285","Djaj të humbur","Bahri Myftari","1","Dollapi 7",""
"1286","Zemra ime është mal","Fahri Balliu","1","Dollapi 7",""
"1287","Dita e nesërme","Fahri Balliu","2","Dollapi 7",""
"1288","Dashuri e huaj","Elvira Danes","7","Dollapi 7",""
"1289","Kardigan","Elvira Danes","2","Dollapi 7",""
"1290","Dasmë në fund të Shkurtit","Agim Asaku","4","Dollapi 7",""
"1291","Deti në mes","Fatos Arapi","6","Dollapi 7",""
"1292","Dhjetori i shqetësuar","Fatos Arapi","4","Dollapi 7",""
"1293","Shënime të shkruara","Sotir Andoni","2","Dollapi 7",""
"1294","Mërgata e qyqeve","Nasho Jorgaqi","2","Dollapi 7",""
"1295","Tokë e papushtueshme","Skënder Jasa","3","Dollapi 7",""
"1296","Feniks","Shefki Karsdaka","10","Dollapi 7",""
"1297","I vetem në jetë","Muhamet Alija","7","Dollapi 7",""
"1298","Maleve në Shënendre","Sotir Andoni","2","Dollapi 7",""
"1299","I dërguar nga klasa","Sotir Andoni","2","Dollapi 7",""
"1300","Tri novela","Sotir Andoni","2","Dollapi 7",""
"1301","Tregime nga Morava","Sotir Andoni","1","Dollapi 7",""
"1302","Tregime nga Voskopoja","Sotir Andoni","1","Dollapi 7",""
"1303","Trokthet e kuajve nëpër male.","Sotir Andoni","1","Dollapi 7",""
"1304","Zbulimi","Anastas Kondo","1","Dollapi 7",""
"1305","Dikush më buzëqeshte","Fatos Arapi","1","Dollapi 7",""
"1306","Poema me vjersha","Fatos Arapi","1","Dollapi 7",""
"1307","Tregime të zgjedhura","Anastas Kondo","3","Dollapi 7",""
"1308","Tregime të zgjedhura","Sotir Andoni","4","Dollapi 7",""
"1309","Shokët","Anastas Dushku","2","Dollapi 7",""
"1310","Skena dhe prapaskena","Dionis Dubani","2","Dollapi 7",""
"1311","Poezia shqipe","Dionis Dubani","1","Dollapi 7",""
"1312","Duke dalë prej ëndrës","Fatos Arapi","6","Dollapi 7",""
"1313","Poezia shqipe","Fatos Arapi","4","Dollapi 7",""
"1314","Drama","Dionis Dubani","1","Dollapi 7",""
"1315","Kështjella dimërore","Agim Isaku","4","Dollapi 7",""
"1316","Kronika për një vrasje","Agim Isaku","5","Dollapi 7",""
"1317","I shtati","Agim Isaku","1","Dollapi 7",""
"1318","Ndërtimi i qiejve","Vath Koreshi","2","Dollapi 7",""
"1319","Rrezja e padukshme","Skënder Jasa","5","Dollapi 7",""
"1320","Peisazhe njerëzore","Nazim Himet","3","Dollapi 7",""
"1321","Poezi","Drago Siliqi","3","Dollapi 7",""
"1322","Rruga për nesër","Haiku","1","Dollapi 7",""
"1323","Statujat zenë vendet","Tasim Aliaj","1","Dollapi 7",""
"1324","Yjet e vendlindjes","Abdylhazis Islami","1","Dollapi 7",""
"1325","Dritaret e fjalës","Adem Istrefi","1","Dollapi 7",""
"1326","Gurët","Agim Isaku","1","Dollapi 7",""
"1327","Shoku","Nasho Jorgaqi","4","Dollapi 7",""
"1328","Ngarkesa e largët","Alfred Ranini","5","Dollapi 7",""
"1329","Drama","Fahri Balliu","20","Dollapi 7",""
"1330","Vetëkryqëzimi","Leka Toto","3","Dollapi 7",""
"1582","Vepra letrare 3","Naim Frasheri","30","Dollapi 9",""
"1583","Vepra letrare 4","Naim Frasheri","","Dollapi 9",""
"1584","Vepra letrare 5","Naim Frasheri","","Dollapi 9",""
"1585","Vepra letrare 6","Naim Frasheri","","Dollapi 9",""
"1586","Poezia shqipe","","3","Dollapi 9",""
"1587","Vepra 1","Sami Frasheri","1","Dollapi 9",""
"1588","Vepra letrare 2","Mitrush Kuteli","2","Dollapi 9",""
"1589","Vepra letrare 3","Mitrush Kutel","4","Dollapi 9",""
"1590","Vepra letrare 4","Mitrush Kutel","3","Dollapi 9",""
"1591","Vepra letrare 5","Mitrush Kutel","3","Dollapi 9",""
"1592","Vepra te zgjedhura","Naim Frasheri","5","Dollapi 9",""
"1593","Armiqte","Xhemil Frasheri","1","Dollapi 9",""
